SSID,Average Level
MyCharterWiFi83-5G,-49.26009724631661
MyCharterWiFi83-2G,-40.51272462360369
NETGEAR59,-56.040232886011175
MyCharterWiFib2-2G,-71.41915781615826
Maradona,-71.29688512334911
NETGEAR93,-73.9349740207212
belkin.e12,-64.10721368735754
MyCharterWiFicc-2G,-80.3711333150835
FLORES,-85.640337291344
MyCharterWiFib2-5G,-78.39600562131777
Cisco_10E9513C,-85.45705375160522
NETGEAR78,-83.6249401627573
K2C1,-83.75261908659355
Ilovebeer,-85.80169779286928
MyCharterWiFidb-5G,-87.03725314183124
HP-Print-30-Officejet 4630,-87.31727902389798
HP-Print-7B-Officejet 6700,-85.24116529449019
TeChNo RaDiO,-89.275966641395
NETGEAR70,-82.4639387695025
TeChNo RaDiO-guest,-88.05140186915888
ATT279h8e2,-83.42620077129835
The Neko Network.media,-81.59183324790706
ATTnSPMuTA,-82.29951282884053
2WIRE687,-81.69018703561363
MyCharterWiFifb-2G,-85.03682685341705
,-78.23257130724043
MyCharterWiFi63-2G,-88.37275307473983
belkin.68e.guests,-80.35174530111239
zhzs1973,-87.40666003076645
MyCharterWiFi29-2G,-82.79738562091504
NETGEAR93-5G,-86.59459668679362
belkin.fae,-85.83444816053512
MyCharterWiFi32-2G,-87.2263787119167
A-Blast_FREE_WiFi,-85.63719577859143
ATT070,-85.90041945005437
MyCharterWiFicc-5G,-85.1069165059245
MyCharterWiFidb-2G,-84.40103457664034
The Neko Network,-83.07488299531981
MyCharterWiFifb-5G,-88.565
Mischief Managed,-92.76470588235294
RouterIHardlyKnowHer,-89.50577663671373
mobilenet,-73.96688524345575
2WIRE690,-89.20370370370371
belkin.b9c.guests,-88.73627223511214
DanaFawaz.media,-78.9672131147541
ELN,-79.6304347826087
MyCharterWiFi7c-5G,-82.85714285714286
2WIRE061,-79.98780487804878
MyCharterWiFi93-5G,-81.0
whkim7,-79.0
ATT5V6h6u9,-78.49462365591398
belkin.660,-83.6
belkin.e93,-85.5
MyCharterWiFi93-2G,-83.36734693877551
MyCharterWiFi45-2G,-82.92207792207792
Hide yo kids hide yo wifi,-83.3875
ATTUZP2PEa,-83.66292134831461
belkin.660.guests,-81.77777777777777
NETGEAR24,-81.77397260273973
STL,-83.71428571428571
SepiaWillow,-83.33870967741936
NETGEAR,-76.056
NETGEAR64,-85.55652173913043
NETGEAR24-5G,-88.18
NETGEAR40,-85.12790697674419
TIffany Kathy,-87.06349206349206
RaciallyDiverseArena,-87.0
Togepi,-85.32
Cisco35807-guest,-83.88709677419355
STL-guest,-84.95061728395062
calypso,-83.71875
belkin.090,-83.38926174496645
NETGEAR04,-82.83484162895928
MyCharterWiFi2b,-78.5
chiapet,-80.4
2WIRE488,-84.16666666666667
NETGEAR04-5G,-89.8
Kaurz91,-83.63934426229508
belkin.090.5GHz,-87.8
Wall-E,-79.86274509803921
American Donuts,-81.07407407407408
ChiefEnvy-5G,-91.0
J7GX3,-83.71428571428571
2WIRE012,-82.91666666666667
home mom,-82.47887323943662
MyCharterWiFi1b-5G,-83.23076923076923
Cisco_D47058BD,-81.45614035087719
ATT896Q599,-77.91803278688525
MyCharterWiFi1b-2G,-74.28260869565217
Cisco_9614A0B1,-87.92682926829268
NETGEAR27,-83.91774891774892
2WIRE919,-82.21428571428571
NETGEAR16-5G,-71.96402877697842
2WIRE799,-82.34
NETGEAR89,-82.87096774193549
YEEEE,-79.8348623853211
NETGEAR19-5G,-87.81203007518798
MyCharterWiFi95-2G,-82.17142857142858
2WIRE565,-84.92307692307692
MyCharterWiFi5b-5G,-84.44347826086957
2WIRE328,-88.0
quietwhale,-77.0
2WIRE573,-86.125
MyCharterWiFi64-2G,-83.875
CharterWiFie490,-84.21428571428571
Sugar Tits,-80.56410256410257
Efcie_Wireless,-86.46511627906976
WiFiRSU_a6d5a,-85.75
Concealed Industries.media,-88.10526315789474
CHARTERwifi,-89.4
NETGEAR12,-87.91515151515152
belkin.586,-83.86585365853658
MyCharterWiFi72-2G,-81.99457994579946
NETGEAR16,-83.17482517482517
ATT939,-84.08333333333333
NETGEAR22,-80.72020725388602
MyCharterWiFi72-5G,-77.6453488372093
MyCharterWiFi5b-2G,-79.40517241379311
2WIRE668,-82.6268656716418
NETGEAR03,-82.77348066298343
NETGEAR03-5G,-81.50961538461539
NETGEAR42,-91.15555555555555
NETGEAR95,-83.10596026490066
MyCharterWiFi73-2G,-74.78947368421052
NETGEAR65,-79.44852941176471
NETGEAR22-5G,-83.84905660377359
MyCharterWiFi6e-2G,-84.83783783783784
ATT3b4d235,-80.96875
Fblthp,-78.78571428571429
NETGEAR15,-80.31818181818181
ATT623,-81.0
Minions,-80.20689655172414
MyCharterWiFi45-5G,-84.04347826086956
MyCharterWiFi73-5G,-85.25
NETGEAR10,-87.2
HPE710n.8246E7,-77.72
Danh's Wi-Fi Network,-87.15217391304348
2WIRE729,-84.53658536585365
HP-Print-B0-Officejet 6600,-80.38938053097345
ATT9s3A7g7,-79.51724137931035
Beast,-82.624
HERMOSILLENSE_GUEST,-71.0
HERMOSILLENSE,-72.85
2WIRE300,-82.57777777777778
Cherry on Top,-85.71428571428571
HP-Print-11-Photosmart 5520,-85.6
NETGEAR46-5G,-66.0
ATT2D6U5n9,-81.77300613496932
MyCharterWiFi02-2G,-85.2258064516129
belkin.1d1,-82.74626865671642
NETGEAR00,-80.6734693877551
wadsworth,-81.55405405405405
NETGEAR01,-80.336
DIRECT-roku-B498EC,-80.0
NETGEAR01-5G,-86.66666666666667
MyCharterWiFi38-2G,-76.58928571428571
teammoses,-88.61818181818182
ATT9z8Z8y8,-83.75949367088607
NETGEAR52,-84.62
ATT776C8i7,-78.91666666666667
MyCharterWiFia5-2G,-83.77443609022556
DIRECT-roku-2378AE,-84.16129032258064
ATTyxtJ9MS,-83.88541666666667
MyCharterWiFi63-5G,-88.16666666666667
MyCharterWiFi29-5G,-78.98456057007125
MyCharterWiFic7-2G,-88.39728860294117
belkin.b9c.media,-87.5
ASHKANNETWORK-guest,-93.70168855534709
Ali&KAF,-86.23020554889851
hpsetup,-81.45367486764248
SIMAMA,-86.41998353005765
belkin.b9c,-89.04243191893603
2WIRE137,-74.33650793650794
WINDWOOD-OFC,-77.34583333333333
ABNOSA,-73.33125
belkin.fae.5GHz,-85.19540229885058
MyCharterWiFif3-5G,-82.94845360824742
MyCharterWiFif3-2G,-89.16666666666667
qatari,-82.95111111111112
Qatar2022,-84.76470588235294
belkin.fae.guests,-86.34118486795147
Mr. Internet,-85.66666666666667
MyCharterWiFi88-5G,-84.36363636363636
MyCharterWiFi88-2G,-89.22340425531915
2WIRE222,-86.77464788732394
Mr. Internet-guest,-86.77777777777777
Hermosillense,-78.91463414634147
hkim07b,-77.85714285714286
MyCharterWiFic1-5G,-80.87919463087249
NETGEAR86,-81.43055555555556
CAMPKMAN-guest,-89.2
NETGEAR57,-85.67676767676768
GraMi,-84.85714285714286
2WIRE669,-80.58333333333333
2WIRE381,-83.33333333333333
JoLiMi,-82.56989247311827
piggy,-86.58333333333333
RobotwithHumanHair,-89.27586206896552
PRETTYPOLLITO,-81.59770114942529
piggy-guest,-85.06896551724138
MotoVAP_M91403SA38XJ,-87.1304347826087
ATT5T7d7Z9,-82.79310344827586
NETGEAR26-5G,-85.42528735632185
SuperCharge2,-79.11111111111111
Cisco_EC5E35D4,-82.1
Get your own damn wifi,-88.625
ATT5v7F9S5,-82.04424778761062
ICRC1982,-90.0
CharterWiFi2770,-87.4
Melissa's Wi-Fi Network,-91.33333333333333
ryanwifi,-92.0
dlink,-87.42105263157895
linksys,-79.27368421052631
belkin.185,-83.65517241379311
MyCharterWiFib1-2G,-81.23076923076923
Free WiFi,-83.76190476190476
NETGEAR02,-84.15686274509804
belkin.25e.guests,-82.8
charterWifi,-85.5
Smooch,-80.36842105263158
Don't be Jelly.,-88.16666666666667
WhyPhy-G,-81.91379310344827
