SSID,BSSID,Capabilities_Code
MyCharterWiFi83-5G,c4:04:15:0e:c0:82,"2,3,18"
MyCharterWiFi83-2G,c4:04:15:0e:c0:83,"2,3,18"
NETGEAR59,10:0d:7f:57:cc:1e,"2,3,18"
MyCharterWiFib2-2G,6c:b0:ce:44:83:b2,"2,3,18"
Maradona,00:14:6c:20:3b:7c,"16,18"
NETGEAR93,44:94:fc:63:ab:1c,"2,3,18"
belkin.e12,ec:1a:59:32:be:12,"2,3,18"
MyCharterWiFicc-2G,e8:fc:af:98:1d:cc,"2,3,18"
FLORES,94:62:69:52:48:60,"1,19,18"
MyCharterWiFib2-5G,6c:b0:ce:44:83:b1,"2,3,18"
Cisco_10E9513C,bc:c8:10:e9:51:3d,"2,3,18"
NETGEAR78,6c:b0:ce:3f:94:98,"2,3,18"
K2C1,ac:22:0b:e8:8c:50,"2,3,18"
Ilovebeer,28:16:2e:34:54:d1,"1,19,18"
MyCharterWiFidb-5G,6c:b0:ce:b5:97:da,"2,3,18"
HP-Print-30-Officejet 4630,28:80:23:f5:51:30,"2,18"
HP-Print-7B-Officejet 6700,9c:b6:54:3e:df:7b,"2,18"
TeChNo RaDiO,b4:75:0e:9e:f4:b4,"1,19,3,18"
NETGEAR70,04:a1:51:ab:7a:e3,"2,3,18"
TeChNo RaDiO-guest,b4:75:0e:9e:f4:b5,18
ATT279h8e2,44:e1:37:b2:21:70,"1,19,18"
The Neko Network.media,b4:75:0e:27:e6:90,"2,3,18"
ATTnSPMuTA,94:62:69:65:80:f0,"1,19,18"
2WIRE687,00:1d:5a:3f:ea:29,"1,19,18"
MyCharterWiFifb-2G,e8:fc:af:98:1e:fb,"2,3,18"
,0a:12:cf:d5:4c:03,"6,18"
MyCharterWiFi63-2G,6c:b0:ce:a3:d7:63,"2,3,18"
belkin.68e.guests,b4:75:0e:27:e6:91,18
zhzs1973,a0:21:b7:a2:a0:48,"2,3,18"
MyCharterWiFi29-2G,6c:b0:ce:b6:36:29,"2,3,18"
NETGEAR93-5G,44:94:fc:63:ab:1e,"2,3,18"
belkin.fae,08:86:3b:56:ff:ae,"7,2,3,18"
MyCharterWiFi32-2G,6c:b0:ce:32:73:32,"2,3,18"
A-Blast_FREE_WiFi,06:72:cf:29:65:b5,18
ATT070,60:fe:20:73:d0:4a,"1,19,18"
MyCharterWiFicc-5G,e8:fc:af:98:1d:cb,"2,3,18"
MyCharterWiFidb-2G,6c:b0:ce:b5:97:db,"2,3,18"
The Neko Network,b4:75:0e:27:e6:8e,"2,3,18"
MyCharterWiFifb-5G,e8:fc:af:98:1e:fa,"2,3,18"
Mischief Managed,b4:75:0e:76:c4:02,"2,3,18"
RouterIHardlyKnowHer,4c:60:de:46:6c:9a,"2,3,18"
mobilenet,20:37:06:7c:e8:50,18
2WIRE690,ac:5d:10:22:62:a9,"1,19,18"
belkin.b9c.guests,b6:75:0e:20:8b:9d,"3,18"
DanaFawaz.media,b4:75:0e:2b:c0:82,"1,19,3,18"
ELN,d8:50:e6:95:ea:5d,"2,18"
MyCharterWiFi7c-5G,e8:fc:af:9f:f8:7b,"2,3,18"
2WIRE061,ac:5d:10:0e:c3:b1,"1,19,18"
MyCharterWiFi93-5G,6c:b0:ce:a7:de:92,"2,3,18"
