SSID,BSSID,Capabilities
MyCharterWiFi83-5G,c4:04:15:0e:c0:82,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi83-2G,c4:04:15:0e:c0:83,[WPA2-PSK-CCMP][WPS][ESS]
NETGEAR59,10:0d:7f:57:cc:1e,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFib2-2G,6c:b0:ce:44:83:b2,[WPA2-PSK-CCMP][WPS][ESS]
Maradona,00:14:6c:20:3b:7c,[WPA2-PSK-CCMP-preauth][ESS]
NETGEAR93,44:94:fc:63:ab:1c,[WPA2-PSK-CCMP][WPS][ESS]
belkin.e12,ec:1a:59:32:be:12,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFicc-2G,e8:fc:af:98:1d:cc,[WPA2-PSK-CCMP][WPS][ESS]
FLORES,94:62:69:52:48:60,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
MyCharterWiFib2-5G,6c:b0:ce:44:83:b1,[WPA2-PSK-CCMP][WPS][ESS]
Cisco_10E9513C,bc:c8:10:e9:51:3d,[WPA2-PSK-CCMP][WPS][ESS]
NETGEAR78,6c:b0:ce:3f:94:98,[WPA2-PSK-CCMP][WPS][ESS]
K2C1,ac:22:0b:e8:8c:50,[WPA2-PSK-CCMP][WPS][ESS]
Ilovebeer,28:16:2e:34:54:d1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
MyCharterWiFidb-5G,6c:b0:ce:b5:97:da,[WPA2-PSK-CCMP][WPS][ESS]
HP-Print-30-Officejet 4630,28:80:23:f5:51:30,[WPA2-PSK-CCMP][ESS]
HP-Print-7B-Officejet 6700,9c:b6:54:3e:df:7b,[WPA2-PSK-CCMP][ESS]
TeChNo RaDiO,b4:75:0e:9e:f4:b4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS]
NETGEAR70,04:a1:51:ab:7a:e3,[WPA2-PSK-CCMP][WPS][ESS]
TeChNo RaDiO-guest,b4:75:0e:9e:f4:b5,[ESS]
ATT279h8e2,44:e1:37:b2:21:70,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
The Neko Network.media,b4:75:0e:27:e6:90,[WPA2-PSK-CCMP][WPS][ESS]
ATTnSPMuTA,94:62:69:65:80:f0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
2WIRE687,00:1d:5a:3f:ea:29,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
MyCharterWiFifb-2G,e8:fc:af:98:1e:fb,[WPA2-PSK-CCMP][WPS][ESS]
,0a:12:cf:d5:4c:03,[WPA-PSK-TKIP][ESS]
MyCharterWiFi63-2G,6c:b0:ce:a3:d7:63,[WPA2-PSK-CCMP][WPS][ESS]
belkin.68e.guests,b4:75:0e:27:e6:91,[ESS]
zhzs1973,a0:21:b7:a2:a0:48,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi29-2G,6c:b0:ce:b6:36:29,[WPA2-PSK-CCMP][WPS][ESS]
NETGEAR93-5G,44:94:fc:63:ab:1e,[WPA2-PSK-CCMP][WPS][ESS]
belkin.fae,08:86:3b:56:ff:ae,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi32-2G,6c:b0:ce:32:73:32,[WPA2-PSK-CCMP][WPS][ESS]
A-Blast_FREE_WiFi,06:72:cf:29:65:b5,[ESS]
ATT070,60:fe:20:73:d0:4a,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
MyCharterWiFicc-5G,e8:fc:af:98:1d:cb,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFidb-2G,6c:b0:ce:b5:97:db,[WPA2-PSK-CCMP][WPS][ESS]
The Neko Network,b4:75:0e:27:e6:8e,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFifb-5G,e8:fc:af:98:1e:fa,[WPA2-PSK-CCMP][WPS][ESS]
Mischief Managed,b4:75:0e:76:c4:02,[WPA2-PSK-CCMP][WPS][ESS]
RouterIHardlyKnowHer,4c:60:de:46:6c:9a,[WPA2-PSK-CCMP][WPS][ESS]
mobilenet,20:37:06:7c:e8:50,[ESS]
2WIRE690,ac:5d:10:22:62:a9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
belkin.b9c.guests,b6:75:0e:20:8b:9d,[WPS][ESS]
DanaFawaz.media,b4:75:0e:2b:c0:82,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS]
ELN,d8:50:e6:95:ea:5d,[WPA2-PSK-CCMP][ESS]
MyCharterWiFi7c-5G,e8:fc:af:9f:f8:7b,[WPA2-PSK-CCMP][WPS][ESS]
2WIRE061,ac:5d:10:0e:c3:b1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
MyCharterWiFi93-5G,6c:b0:ce:a7:de:92,[WPA2-PSK-CCMP][WPS][ESS]
whkim7,90:72:40:21:30:0a,[WPA2-PSK-CCMP][ESS]
ATT5V6h6u9,8c:7f:3b:a5:4b:40,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
belkin.660,ec:1a:59:9a:f6:60,[WPA2-PSK-CCMP][WPS][ESS]
belkin.e93,ec:1a:59:02:be:93,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi93-2G,6c:b0:ce:a7:de:93,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi45-2G,6c:b0:ce:44:84:45,[WPA2-PSK-CCMP][WPS][ESS]
Hide yo kids hide yo wifi,84:1b:5e:43:43:9a,[WPA2-PSK-CCMP][WPS][ESS]
ATTUZP2PEa,3c:36:e4:f6:2d:70,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
belkin.660.guests,ec:1a:59:9a:f6:63,[ESS]
NETGEAR24,04:a1:51:22:56:13,[WPA2-PSK-CCMP][WPS][ESS]
STL,c8:d7:19:60:50:7d,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS]
SepiaWillow,c8:d7:19:23:d0:a7,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS]
NETGEAR,00:14:6c:9e:e0:ce,[WPA-PSK-TKIP][ESS]
NETGEAR64,44:94:fc:56:5d:e2,[WPA2-PSK-CCMP][WPS][ESS]
NETGEAR24-5G,04:a1:51:22:56:12,[WPA2-PSK-CCMP][WPS][ESS]
NETGEAR40,c4:04:15:1a:9f:cd,[WPA2-PSK-CCMP][WPS][ESS]
TIffany Kathy,14:35:8b:11:7b:a4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
RaciallyDiverseArena,b4:75:0e:a2:23:e9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS]
Togepi,2c:b0:5d:43:11:06,[WPS][WEP][ESS]
Cisco35807-guest,ce:d7:19:23:d0:a7,[ESS]
STL-guest,c8:d7:19:60:50:7f,[ESS]
calypso,90:3e:ab:e7:50:a0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS]
belkin.090,08:86:3b:d7:70:90,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS]
NETGEAR04,6c:b0:ce:40:60:f7,[WPA2-PSK-CCMP][WPS][ESS]
MyCharterWiFi2b,6c:b0:ce:b5:99:2b,[WPA2-PSK-CCMP][WPS][ESS]
chiapet,20:e5:2a:25:3e:10,[WPA2-PSK-CCMP][WPS][ESS]
