SSID,BSSID,Capabilities,frequency
MyCharterWiFi83-5G,c4:04:15:0e:c0:82,[WPA2-PSK-CCMP][WPS][ESS],5765
MyCharterWiFi83-2G,c4:04:15:0e:c0:83,[WPA2-PSK-CCMP][WPS][ESS],2462
NETGEAR59,10:0d:7f:57:cc:1e,[WPA2-PSK-CCMP][WPS][ESS],2432
MyCharterWiFib2-2G,6c:b0:ce:44:83:b2,[WPA2-PSK-CCMP][WPS][ESS],2412
Maradona,00:14:6c:20:3b:7c,[WPA2-PSK-CCMP-preauth][ESS],2462
NETGEAR93,44:94:fc:63:ab:1c,[WPA2-PSK-CCMP][WPS][ESS],2422
belkin.e12,ec:1a:59:32:be:12,[WPA2-PSK-CCMP][WPS][ESS],2437
MyCharterWiFicc-2G,e8:fc:af:98:1d:cc,[WPA2-PSK-CCMP][WPS][ESS],2412
FLORES,94:62:69:52:48:60,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412
MyCharterWiFib2-5G,6c:b0:ce:44:83:b1,[WPA2-PSK-CCMP][WPS][ESS],5765
Cisco_10E9513C,bc:c8:10:e9:51:3d,[WPA2-PSK-CCMP][WPS][ESS],5180
NETGEAR78,6c:b0:ce:3f:94:98,[WPA2-PSK-CCMP][WPS][ESS],2412
K2C1,ac:22:0b:e8:8c:50,[WPA2-PSK-CCMP][WPS][ESS],2437
Ilovebeer,28:16:2e:34:54:d1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
MyCharterWiFidb-5G,6c:b0:ce:b5:97:da,[WPA2-PSK-CCMP][WPS][ESS],5765
HP-Print-30-Officejet 4630,28:80:23:f5:51:30,[WPA2-PSK-CCMP][ESS],2452
HP-Print-7B-Officejet 6700,9c:b6:54:3e:df:7b,[WPA2-PSK-CCMP][ESS],2437
TeChNo RaDiO,b4:75:0e:9e:f4:b4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412
NETGEAR70,04:a1:51:ab:7a:e3,[WPA2-PSK-CCMP][WPS][ESS],2417
TeChNo RaDiO-guest,b4:75:0e:9e:f4:b5,[ESS],2412
ATT279h8e2,44:e1:37:b2:21:70,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2437
The Neko Network.media,b4:75:0e:27:e6:90,[WPA2-PSK-CCMP][WPS][ESS],5180
ATTnSPMuTA,94:62:69:65:80:f0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2462
